"codigo","ucp","fecha","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","estado","observacion","festivo"
2,"Cartagena","2018-01-01","305.8","310.7","316.1","316.5","312.2","304.5","285.5","282.2","288.2","295.5","300.3","306.4","308.5","306.8","306.7","303","294.4","293.1","325.8","334.2","334.7","341","341.2","337.2","Tipico","",1
3,"Cartagena","2018-01-02","328.4","323.6","310.5","303.6","297.8","296.1","289.4","301.5","324","335.2","341.8","340.5","337.5","342.8","351.5","348.3","344.4","336.6","367.4","371.2","370.1","373.7","372.7","362.9","Tipico","",0
4,"Cartagena","2018-01-03","350","336.9","327.2","316.1","310.1","305","297.6","302.6","327.1","336.9","346.2","353.2","351.3","349.8","353.8","349.9","346.9","346.3","374.6","375.8","375","379.5","376","364.7","Tipico","",0
5,"Cartagena","2018-01-04","350.1","338.4","327.6","317.1","311.1","307.5","297.7","311.6","337.9","344.4","353.8","364.4","366.8","375.1","384.6","386.5","378.6","366.2","390.9","392.9","394.1","398.6","395.5","386","Tipico","",0
6,"Cartagena","2018-01-05","371.3","358.8","347.8","338","330.7","327.5","316.1","325.7","352.8","368.2","376.9","378.7","377","379.3","383.6","378.5","374.6","368.6","399","400.4","401.1","402","398.6","388.6","Tipico","",0
7,"Cartagena","2018-01-06","378.1","364.9","352.7","344.9","341.1","338.1","326.3","329","344.3","357.5","368.6","372.8","370","371.7","376","370","360.4","361.6","396.5","391.1","388","387.9","387.1","379.8","Tipico","",0
8,"Cartagena","2018-01-07","368.5","356.6","343.2","333.1","325.8","322.3","307.9","304.7","313.8","324.8","334.7","334.3","338.8","343.5","345.6","344.7","340","334.4","365.6","371.6","371.8","374.7","380.1","375.5","Tipico","",0
9,"Cartagena","2018-01-08","367.8","358.1","348.5","339.6","331.2","326.6","311.7","312.3","322.2","334.1","342.4","350","352.7","351.9","363.5","367.2","361.7","360.7","399.4","408.2","413.6","416.7","416.9","408.4","Tipico","",1
10,"Cartagena","2018-01-09","398.8","387.1","376.7","368.6","356.5","350.3","343.9","353.4","376.3","390.3","399.8","406.6","406.4","407.3","413.3","415.2","406.8","394.2","413.3","416.3","418.3","419","419","404.2","Tipico","",0
11,"Cartagena","2018-01-10","386.6","374.1","361.3","353.3","346.8","341.2","330.2","341","364.3","377.8","388.8","398.2","394.3","396.4","406.9","406.5","400.1","386.3","409.1","410.5","407.2","410.1","409.2","390.7","Tipico","",0
12,"Cartagena","2018-01-11","380.7","368.2","356.6","348.8","342.4","335.8","328.3","341.5","365.7","381.2","394","399.7","399.4","406.4","417.8","416.5","401","386.8","407.9","405.8","404.1","408.8","408.6","394.6","Tipico","",0
13,"Cartagena","2018-01-12","379.4","368.5","356.8","349.1","343.1","338.4","329.4","342.2","367.3","378.1","392.5","400.1","396.8","400.9","403.2","405.2","401.6","389.9","411","413.2","413.7","415.6","413.3","401.4","Tipico","",0
14,"Cartagena","2018-01-13","388","375","365.9","358.5","353","349.4","336.1","335.9","356.3","370.8","378.8","383.9","379.3","371.4","373.9","368.7","362.9","366","393.3","394","391.7","391.1","393.5","389.2","Tipico","",0
